Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,4,0,1,Import,24,Angola,AGO,392,Japan,JPN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,87,,,,87,,42,,,0
H5,2019,2019,2019,4,0,1,Import,24,Angola,AGO,422,Lebanon,LBN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4187,,,,4187,,22475,,,0
H5,2019,2019,2019,4,0,1,Import,24,Angola,AGO,566,Nigeria,NGA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,91779,,,,91779,,136446,,,0
H5,2019,2019,2019,4,0,1,Import,24,Angola,AGO,620,Portugal,PRT,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,17259,,,,17259,,45156,,,6
H5,2019,2019,2019,4,0,1,Import,24,Angola,AGO,702,Singapore,SGP,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1,,,,1,,15,,,0
H5,2019,2019,2019,4,0,1,Import,24,Angola,AGO,704,Viet Nam,VNM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,180,,,,180,,396,,,0
H5,2019,2019,2019,4,0,1,Import,24,Angola,AGO,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,70,,,,70,,12,,,0
H5,2019,2019,2019,4,0,1,Import,24,Angola,AGO,724,Spain,ESP,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,516310,,,,516310,,133696,,,0
H5,2019,2019,2019,4,0,1,Import,24,Angola,AGO,784,United Arab Emirates,ARE,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2813,,,,2813,,2605,,,0
H5,2019,2019,2019,4,0,1,Import,24,Angola,AGO,804,Ukraine,UKR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,45,,,,45,,352,,,0
H5,2019,2019,2019,4,0,1,Import,24,Angola,AGO,842,USA,USA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,389819,,,,389819,,261006,,,0
H4,2016,2016,2016,4,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,9909,,,,11050,,20944,,,0
H4,2016,2016,2016,4,0,1,Import,24,Angola,AGO,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4288,,,,5661,,8771,,,0
H4,2016,2016,2016,4,0,1,Import,24,Angola,AGO,528,Netherlands,NLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1,,,,1,,0,,,0
H4,2016,2016,2016,4,0,1,Import,24,Angola,AGO,620,Portugal,PRT,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5290,,,,5341,,10790,,,0
